id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index
1,1,scatter,0.1,0.1,trig,data/P1/trig/scatter/S0.1m0.1.png,,0.3,,,63
1,1,scatter,0.2,0.1,trig,data/P1/trig/scatter/S0.1m0.2.png,,0.33,,,64
1,1,scattertrend,0.2,0.1,quad,data/P1/quad/scattertrend/S0.1m0.2.png,1,0.2,,,65
1,-1,scatter,0.1,0.1,quad,data/P1/quad/scatter/S0.1m-0.1.png,,-0.15,,,66
1,1,area,0.4,0.2,quad,data/P1/quad/area/S0.2m0.4.png,,0.61,,,67
1,1,area,0.8,0.2,line,data/P1/line/area/S0.2m0.8.png,,0.76,,,68
1,-1,area,0.4,0.2,line,data/P1/line/area/S0.2m-0.4.png,,-0.55,,,69
1,-1,area,0.2,0.2,trig,data/P1/trig/area/S0.2m-0.2.png,,-0.28,,,70
1,-1,area,0.8,0.2,quad,data/P1/quad/area/S0.2m-0.8.png,,-0.94,,,71
1,1,area,0.1,0.2,quad,data/P1/quad/area/S0.2m0.1.png,,0.27,,,72
1,1,area,0.2,0.2,quad,data/P1/quad/area/S0.2m0.2.png,,0.34,,,73
1,-1,area,0.1,0.2,quad,data/P1/quad/area/S0.2m-0.1.png,,-0.07,,,74
1,1,area,0.4,0.05,quad,data/P1/quad/area/S0.05m0.4.png,,0.46,,,75
1,1,area,0.8,0.05,quad,data/P1/quad/area/S0.05m0.8.png,,0.91,,,76
1,-1,area,0.4,0.05,quad,data/P1/quad/area/S0.05m-0.4.png,,-0.43,,,77
1,-1,area,0.2,0.05,quad,data/P1/quad/area/S0.05m-0.2.png,,-0.2,,,78
1,-1,area,0.8,0.05,trig,data/P1/trig/area/S0.05m-0.8.png,,-0.85,,,79
1,1,area,0.1,0.05,trig,data/P1/trig/area/S0.05m0.1.png,,0.21,,,80
1,1,area,0.2,0.05,quad,data/P1/quad/area/S0.05m0.2.png,,0.21,,,81
1,-1,area,0.1,0.05,trig,data/P1/trig/area/S0.05m-0.1.png,,-0.14,,,82
1,1,area,0.4,0.15,line,data/P1/line/area/S0.15m0.4.png,,0.6,,,83
1,1,area,0.8,0.15,line,data/P1/line/area/S0.15m0.8.png,,0.94,,,84
1,-1,area,0.4,0.15,line,data/P1/line/area/S0.15m-0.4.png,,-0.47,,,85
1,-1,area,0.2,0.15,line,data/P1/line/area/S0.15m-0.2.png,,-0.25,,,86
1,-1,area,0.8,0.15,line,data/P1/line/area/S0.15m-0.8.png,,-1,,,87
1,1,area,0.1,0.15,line,data/P1/line/area/S0.15m0.1.png,,0.29,,,88
1,1,area,0.2,0.15,trig,data/P1/trig/area/S0.15m0.2.png,,0.41,,,89
1,-1,area,0.1,0.15,quad,data/P1/quad/area/S0.15m-0.1.png,,-0.03,,,90
1,1,area,0.4,0.1,trig,data/P1/trig/area/S0.1m0.4.png,,0.57,,,91
1,1,areatrend,0.2,0.1,line,data/P1/line/areatrend/S0.1m0.2.png,1,0.2,,,92
1,1,area,0.8,0.1,line,data/P1/line/area/S0.1m0.8.png,,0.86,,,93
1,-1,area,0.4,0.1,line,data/P1/line/area/S0.1m-0.4.png,,-0.4,,,94
1,-1,area,0.2,0.1,trig,data/P1/trig/area/S0.1m-0.2.png,,-0.26,,,95
1,-1,area,0.8,0.1,line,data/P1/line/area/S0.1m-0.8.png,,-0.91,,,96
1,1,area,0.1,0.1,line,data/P1/line/area/S0.1m0.1.png,,0.22,,,97
1,1,area,0.2,0.1,line,data/P1/line/area/S0.1m0.2.png,,0.27,,,98
1,-1,area,0.1,0.1,trig,data/P1/trig/area/S0.1m-0.1.png,,-0.15,,,99
2,1,line,0.8,0.05,trig,data/P2/trig/line/S0.05m0.8.png,,0.81,,,0
2,-1,line,0.1,0.05,line,data/P2/line/line/S0.05m-0.1.png,,-0.07,,,1
2,-1,line,0.8,0.05,trig,data/P2/trig/line/S0.05m-0.8.png,,-0.78,,,2
2,-1,line,0.4,0.05,trig,data/P2/trig/line/S0.05m-0.4.png,,-0.43,,,3
2,1,line,0.1,0.05,line,data/P2/line/line/S0.05m0.1.png,,0.13,,,4
2,1,line,0.2,0.05,quad,data/P2/quad/line/S0.05m0.2.png,,0.2,,,5
2,1,line,0.4,0.05,trig,data/P2/trig/line/S0.05m0.4.png,,0.42,,,6
2,-1,line,0.2,0.05,trig,data/P2/trig/line/S0.05m-0.2.png,,-0.23,,,7
2,1,line,0.8,0.1,trig,data/P2/trig/line/S0.1m0.8.png,,0.9,,,8
2,-1,line,0.1,0.1,line,data/P2/line/line/S0.1m-0.1.png,,-0.1,,,9
2,-1,line,0.8,0.1,line,data/P2/line/line/S0.1m-0.8.png,,-0.83,,,10
2,-1,line,0.4,0.1,quad,data/P2/quad/line/S0.1m-0.4.png,,-0.42,,,11
2,1,line,0.1,0.1,line,data/P2/line/line/S0.1m0.1.png,,0.09,,,12
2,1,linetrend,0.8,0.1,line,data/P2/line/linetrend/S0.1m0.8.png,1,0.81,,,13
2,1,line,0.2,0.1,trig,data/P2/trig/line/S0.1m0.2.png,,0.18,,,14
2,1,line,0.4,0.1,line,data/P2/line/line/S0.1m0.4.png,,0.51,,,15
2,-1,line,0.2,0.1,line,data/P2/line/line/S0.1m-0.2.png,,-0.17,,,16
2,1,line,0.8,0.2,quad,data/P2/quad/line/S0.2m0.8.png,,0.75,,,17
2,-1,line,0.1,0.2,quad,data/P2/quad/line/S0.2m-0.1.png,,0.01,,,18
2,-1,line,0.8,0.2,trig,data/P2/trig/line/S0.2m-0.8.png,,-0.79,,,19
2,-1,line,0.4,0.2,trig,data/P2/trig/line/S0.2m-0.4.png,,-0.47,,,20
2,1,line,0.1,0.2,quad,data/P2/quad/line/S0.2m0.1.png,,0.06,,,21
2,1,line,0.2,0.2,quad,data/P2/quad/line/S0.2m0.2.png,,0.14,,,22
2,1,line,0.4,0.2,trig,data/P2/trig/line/S0.2m0.4.png,,0.58,,,23
2,-1,line,0.2,0.2,trig,data/P2/trig/line/S0.2m-0.2.png,,-0.07,,,24
2,1,line,0.8,0.15,line,data/P2/line/line/S0.15m0.8.png,,0.77,,,25
2,-1,line,0.1,0.15,quad,data/P2/quad/line/S0.15m-0.1.png,,-0.12,,,26
2,-1,line,0.8,0.15,line,data/P2/line/line/S0.15m-0.8.png,,-0.83,,,27
2,-1,line,0.4,0.15,line,data/P2/line/line/S0.15m-0.4.png,,-0.39,,,28
2,1,line,0.1,0.15,quad,data/P2/quad/line/S0.15m0.1.png,,0,,,29
2,1,line,0.2,0.15,trig,data/P2/trig/line/S0.15m0.2.png,,0.32,,,30
2,1,line,0.4,0.15,quad,data/P2/quad/line/S0.15m0.4.png,,0.51,,,31
2,-1,line,0.2,0.15,line,data/P2/line/line/S0.15m-0.2.png,,-0.08,,,32
2,1,scatter,0.8,0.05,line,data/P2/line/scatter/S0.05m0.8.png,,0.84,,,33
2,-1,scatter,0.1,0.05,quad,data/P2/quad/scatter/S0.05m-0.1.png,,-0.11,,,34
2,-1,scatter,0.8,0.05,quad,data/P2/quad/scatter/S0.05m-0.8.png,,-0.83,,,35
2,-1,scatter,0.4,0.05,quad,data/P2/quad/scatter/S0.05m-0.4.png,,-0.42,,,36
2,1,scatter,0.1,0.05,trig,data/P2/trig/scatter/S0.05m0.1.png,,0.11,,,37
