id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index,,,
11,1,scatter,0.2,0.15,line,data/P11/line/scatter/S0.15m0.2.png,,,,,46,0.2,,
11,1,scatter,0.4,0.15,line,data/P11/line/scatter/S0.15m0.4.png,,,,,47,0.4,,
11,1,scatter,0.8,0.15,trig,data/P11/trig/scatter/S0.15m0.8.png,,,,,48,0.8,,
11,-1,scatter,0.4,0.15,quad,data/P11/quad/scatter/S0.15m-0.4.png,,,,,49,-0.4,,
11,-1,scatter,0.1,0.05,quad,data/P11/quad/scatter/S0.05m-0.1.png,,,,,50,-0.1,,
11,-1,scatter,0.2,0.05,line,data/P11/line/scatter/S0.05m-0.2.png,,,,,51,-0.2,,
11,1,scatter,0.1,0.05,line,data/P11/line/scatter/S0.05m0.1.png,,,,,52,0.1,,
11,-1,scatter,0.8,0.05,trig,data/P11/trig/scatter/S0.05m-0.8.png,,,,,53,-0.8,,
11,1,scatter,0.2,0.05,trig,data/P11/trig/scatter/S0.05m0.2.png,,,,,54,0.2,,
11,1,scatter,0.4,0.05,line,data/P11/line/scatter/S0.05m0.4.png,,,,,55,0.4,,
11,1,scatter,0.8,0.05,trig,data/P11/trig/scatter/S0.05m0.8.png,,,,,56,0.8,,
11,-1,scatter,0.4,0.05,trig,data/P11/trig/scatter/S0.05m-0.4.png,,,,,57,-0.4,,
11,-1,scatter,0.1,0.2,line,data/P11/line/scatter/S0.2m-0.1.png,,,,,58,-0.1,,
11,-1,scatter,0.2,0.2,trig,data/P11/trig/scatter/S0.2m-0.2.png,,,,,59,-0.2,,
11,1,scatter,0.1,0.2,trig,data/P11/trig/scatter/S0.2m0.1.png,,,,,60,0.1,,
11,-1,scatter,0.8,0.2,trig,data/P11/trig/scatter/S0.2m-0.8.png,,,,,61,-0.8,,
11,1,scatter,0.2,0.2,line,data/P11/line/scatter/S0.2m0.2.png,,,,,62,0.2,,
11,1,scatter,0.4,0.2,line,data/P11/line/scatter/S0.2m0.4.png,,,,,63,0.4,,
11,1,scatter,0.8,0.2,trig,data/P11/trig/scatter/S0.2m0.8.png,,,,,64,0.8,,
11,-1,scatter,0.4,0.2,trig,data/P11/trig/scatter/S0.2m-0.4.png,,,,,65,-0.4,,
11,-1,area,0.1,0.1,line,data/P11/line/area/S0.1m-0.1.png,,,,,66,-0.1,,
11,-1,area,0.2,0.1,quad,data/P11/quad/area/S0.1m-0.2.png,,,,,67,-0.2,,
11,1,area,0.1,0.1,line,data/P11/line/area/S0.1m0.1.png,,,,,68,0.1,,
11,-1,areatrend,0.15,0.05,trig,data/P11/trig/areatrend/S0.05m-0.15.png,1,,,,69,-0.15,,
11,-1,area,0.8,0.1,line,data/P11/line/area/S0.1m-0.8.png,,,,,70,-0.8,,
11,1,area,0.2,0.1,trig,data/P11/trig/area/S0.1m0.2.png,,,,,71,0.2,,
11,1,area,0.4,0.1,trig,data/P11/trig/area/S0.1m0.4.png,,,,,72,0.4,,
11,1,area,0.8,0.1,trig,data/P11/trig/area/S0.1m0.8.png,,,,,73,0.8,,
11,-1,area,0.4,0.1,line,data/P11/line/area/S0.1m-0.4.png,,,,,74,-0.4,,
11,-1,area,0.1,0.15,quad,data/P11/quad/area/S0.15m-0.1.png,,,,,75,-0.1,,
11,-1,area,0.2,0.15,quad,data/P11/quad/area/S0.15m-0.2.png,,,,,76,-0.2,,
11,1,area,0.1,0.15,quad,data/P11/quad/area/S0.15m0.1.png,,,,,77,0.1,,
11,-1,area,0.8,0.15,line,data/P11/line/area/S0.15m-0.8.png,,,,,78,-0.8,,
11,1,area,0.2,0.15,quad,data/P11/quad/area/S0.15m0.2.png,,,,,79,0.2,,
11,1,area,0.4,0.15,line,data/P11/line/area/S0.15m0.4.png,,,,,80,0.4,,
11,1,area,0.8,0.15,line,data/P11/line/area/S0.15m0.8.png,,,,,81,0.8,,
11,-1,area,0.4,0.15,quad,data/P11/quad/area/S0.15m-0.4.png,,,,,82,-0.4,,
11,-1,area,0.1,0.05,quad,data/P11/quad/area/S0.05m-0.1.png,,,,,83,-0.1,,
11,-1,area,0.2,0.05,trig,data/P11/trig/area/S0.05m-0.2.png,,,,,84,-0.2,,
11,1,area,0.1,0.05,trig,data/P11/trig/area/S0.05m0.1.png,,,,,85,0.1,,
11,-1,area,0.8,0.05,quad,data/P11/quad/area/S0.05m-0.8.png,,,,,86,-0.8,,
11,1,area,0.2,0.05,trig,data/P11/trig/area/S0.05m0.2.png,,,,,87,0.2,,
11,1,area,0.4,0.05,quad,data/P11/quad/area/S0.05m0.4.png,,,,,88,0.4,,
11,1,area,0.8,0.05,line,data/P11/line/area/S0.05m0.8.png,,,,,89,0.8,,
11,1,areatrend,0.4,0.1,quad,data/P11/quad/areatrend/S0.1m0.4.png,1,,,,90,0.4,,
11,-1,area,0.4,0.05,trig,data/P11/trig/area/S0.05m-0.4.png,,,,,91,-0.4,,
11,-1,area,0.1,0.2,line,data/P11/line/area/S0.2m-0.1.png,,,,,92,-0.1,,
11,-1,area,0.2,0.2,line,data/P11/line/area/S0.2m-0.2.png,,,,,93,-0.2,,
11,1,area,0.1,0.2,line,data/P11/line/area/S0.2m0.1.png,,,,,94,0.1,,
11,-1,area,0.8,0.2,trig,data/P11/trig/area/S0.2m-0.8.png,,,,,95,-0.8,,
11,1,area,0.2,0.2,line,data/P11/line/area/S0.2m0.2.png,,,,,96,0.2,,
11,1,area,0.4,0.2,quad,data/P11/quad/area/S0.2m0.4.png,,,,,97,0.4,,
11,1,area,0.8,0.2,line,data/P11/line/area/S0.2m0.8.png,,,,,98,0.8,,
11,-1,area,0.4,0.2,line,data/P11/line/area/S0.2m-0.4.png,,,,,99,-0.4,,
