id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index,,,
11,-1,line,0.1,0.1,trig,data/P11/trig/line/S0.1m-0.1.png,,,,,0,-0.1,,
11,-1,line,0.2,0.1,trig,data/P11/trig/line/S0.1m-0.2.png,,,,,1,-0.2,,
11,1,line,0.1,0.1,quad,data/P11/quad/line/S0.1m0.1.png,,,,,2,0.1,,
11,-1,line,0.8,0.1,line,data/P11/line/line/S0.1m-0.8.png,,,,,3,-0.8,,
11,1,line,0.2,0.1,trig,data/P11/trig/line/S0.1m0.2.png,,,,,4,0.2,,
11,1,line,0.4,0.1,line,data/P11/line/line/S0.1m0.4.png,,,,,5,0.4,,
11,1,line,0.8,0.1,quad,data/P11/quad/line/S0.1m0.8.png,,,,,6,0.8,,
11,-1,line,0.4,0.1,trig,data/P11/trig/line/S0.1m-0.4.png,,,,,7,-0.4,,
11,-1,line,0.1,0.15,quad,data/P11/quad/line/S0.15m-0.1.png,,,,,8,-0.1,,
11,-1,line,0.2,0.15,quad,data/P11/quad/line/S0.15m-0.2.png,,,,,9,-0.2,,
11,1,line,0.1,0.15,quad,data/P11/quad/line/S0.15m0.1.png,,,,,10,0.1,,
11,-1,line,0.8,0.15,quad,data/P11/quad/line/S0.15m-0.8.png,,,,,11,-0.8,,
11,1,linetrend,0.8,0.2,trig,data/P11/trig/linetrend/S0.2m0.8.png,1,,,,12,0.8,,
11,1,line,0.2,0.15,line,data/P11/line/line/S0.15m0.2.png,,,,,13,0.2,,
11,1,line,0.4,0.15,trig,data/P11/trig/line/S0.15m0.4.png,,,,,14,0.4,,
11,1,line,0.8,0.15,trig,data/P11/trig/line/S0.15m0.8.png,,,,,15,0.8,,
11,-1,line,0.4,0.15,trig,data/P11/trig/line/S0.15m-0.4.png,,,,,16,-0.4,,
11,-1,line,0.1,0.05,line,data/P11/line/line/S0.05m-0.1.png,,,,,17,-0.1,,
11,-1,line,0.2,0.05,trig,data/P11/trig/line/S0.05m-0.2.png,,,,,18,-0.2,,
11,1,line,0.1,0.05,trig,data/P11/trig/line/S0.05m0.1.png,,,,,19,0.1,,
11,-1,line,0.8,0.05,trig,data/P11/trig/line/S0.05m-0.8.png,,,,,20,-0.8,,
11,1,line,0.2,0.05,quad,data/P11/quad/line/S0.05m0.2.png,,,,,21,0.2,,
11,1,line,0.4,0.05,quad,data/P11/quad/line/S0.05m0.4.png,,,,,22,0.4,,
11,1,line,0.8,0.05,quad,data/P11/quad/line/S0.05m0.8.png,,,,,23,0.8,,
11,-1,line,0.4,0.05,line,data/P11/line/line/S0.05m-0.4.png,,,,,24,-0.4,,
11,-1,line,0.1,0.2,quad,data/P11/quad/line/S0.2m-0.1.png,,,,,25,-0.1,,
11,-1,line,0.2,0.2,quad,data/P11/quad/line/S0.2m-0.2.png,,,,,26,-0.2,,
11,1,line,0.1,0.2,quad,data/P11/quad/line/S0.2m0.1.png,,,,,27,0.1,,
11,-1,line,0.8,0.2,quad,data/P11/quad/line/S0.2m-0.8.png,,,,,28,-0.8,,
11,1,line,0.2,0.2,line,data/P11/line/line/S0.2m0.2.png,,,,,29,0.2,,
11,1,line,0.4,0.2,quad,data/P11/quad/line/S0.2m0.4.png,,,,,30,0.4,,
11,1,line,0.8,0.2,trig,data/P11/trig/line/S0.2m0.8.png,,,,,31,0.8,,
11,-1,line,0.4,0.2,trig,data/P11/trig/line/S0.2m-0.4.png,,,,,32,-0.4,,
11,-1,scatter,0.1,0.1,quad,data/P11/quad/scatter/S0.1m-0.1.png,,,,,33,-0.1,,
11,-1,scatter,0.2,0.1,trig,data/P11/trig/scatter/S0.1m-0.2.png,,,,,34,-0.2,,
11,1,scatter,0.1,0.1,trig,data/P11/trig/scatter/S0.1m0.1.png,,,,,35,0.1,,
11,-1,scatter,0.8,0.1,quad,data/P11/quad/scatter/S0.1m-0.8.png,,,,,36,-0.8,,
11,1,scatter,0.2,0.1,line,data/P11/line/scatter/S0.1m0.2.png,,,,,37,0.2,,
11,1,scatter,0.4,0.1,line,data/P11/line/scatter/S0.1m0.4.png,,,,,38,0.4,,
11,-1,scattertrend,0.4,0.2,quad,data/P11/quad/scattertrend/S0.2m-0.4.png,1,,,,39,-0.4,,
11,1,scatter,0.8,0.1,quad,data/P11/quad/scatter/S0.1m0.8.png,,,,,40,0.8,,
11,-1,scatter,0.4,0.1,quad,data/P11/quad/scatter/S0.1m-0.4.png,,,,,41,-0.4,,
11,-1,scatter,0.1,0.15,quad,data/P11/quad/scatter/S0.15m-0.1.png,,,,,42,-0.1,,
11,-1,scatter,0.2,0.15,line,data/P11/line/scatter/S0.15m-0.2.png,,,,,43,-0.2,,
11,1,scatter,0.1,0.15,line,data/P11/line/scatter/S0.15m0.1.png,,,,,44,0.1,,
11,-1,scatter,0.8,0.15,quad,data/P11/quad/scatter/S0.15m-0.8.png,,,,,45,-0.8,,
