"","id","sign","type","m","sigma","graphtype","src","isValidation","answer","error","unsignedError","index","age","gender","level","faculty","graphs"
"43","1",1,"scatter",0.8,0.05,"trig","data/P1/trig/scatter/S0.05m0.8.png",NA,0.84,NA,NA,42,21,"F","BA","PF","1"
"44","1",-1,"scatter",0.4,0.05,"quad","data/P1/quad/scatter/S0.05m-0.4.png",NA,-0.38,NA,NA,43,21,"F","BA","PF","1"
"45","1",-1,"scatter",0.2,0.05,"quad","data/P1/quad/scatter/S0.05m-0.2.png",NA,-0.21,NA,NA,44,21,"F","BA","PF","1"
"46","1",-1,"scatter",0.8,0.05,"trig","data/P1/trig/scatter/S0.05m-0.8.png",NA,-0.81,NA,NA,45,21,"F","BA","PF","1"
"47","1",1,"scatter",0.1,0.05,"quad","data/P1/quad/scatter/S0.05m0.1.png",NA,0.11,NA,NA,46,21,"F","BA","PF","1"
"48","1",1,"scatter",0.2,0.05,"line","data/P1/line/scatter/S0.05m0.2.png",NA,0.25,NA,NA,47,21,"F","BA","PF","1"
"49","1",-1,"scatter",0.1,0.05,"quad","data/P1/quad/scatter/S0.05m-0.1.png",NA,-0.11,NA,NA,48,21,"F","BA","PF","1"
"50","1",1,"scatter",0.4,0.15,"line","data/P1/line/scatter/S0.15m0.4.png",NA,0.81,NA,NA,49,21,"F","BA","PF","1"
"51","1",1,"scatter",0.8,0.15,"quad","data/P1/quad/scatter/S0.15m0.8.png",NA,1,NA,NA,50,21,"F","BA","PF","1"
"52","1",-1,"scatter",0.4,0.15,"trig","data/P1/trig/scatter/S0.15m-0.4.png",NA,-0.61,NA,NA,51,21,"F","BA","PF","1"
"53","1",-1,"scatter",0.2,0.15,"line","data/P1/line/scatter/S0.15m-0.2.png",NA,-0.52,NA,NA,52,21,"F","BA","PF","1"
"54","1",-1,"scatter",0.8,0.15,"trig","data/P1/trig/scatter/S0.15m-0.8.png",NA,-0.93,NA,NA,53,21,"F","BA","PF","1"
"55","1",1,"scatter",0.1,0.15,"trig","data/P1/trig/scatter/S0.15m0.1.png",NA,0.31,NA,NA,54,21,"F","BA","PF","1"
"56","1",1,"scatter",0.2,0.15,"trig","data/P1/trig/scatter/S0.15m0.2.png",NA,1,NA,NA,55,21,"F","BA","PF","1"
"57","1",-1,"scatter",0.1,0.15,"trig","data/P1/trig/scatter/S0.15m-0.1.png",NA,-0.45,NA,NA,56,21,"F","BA","PF","1"
"58","1",1,"scattertrend",0.1,0.15,"line","data/P1/line/scattertrend/S0.15m0.1.png",1,0.1,NA,NA,57,21,"F","BA","PF","1"
"59","1",1,"scatter",0.4,0.1,"quad","data/P1/quad/scatter/S0.1m0.4.png",NA,0.64,NA,NA,58,21,"F","BA","PF","1"
"60","1",1,"scatter",0.8,0.1,"line","data/P1/line/scatter/S0.1m0.8.png",NA,0.89,NA,NA,59,21,"F","BA","PF","1"
"61","1",-1,"scatter",0.4,0.1,"line","data/P1/line/scatter/S0.1m-0.4.png",NA,-0.44,NA,NA,60,21,"F","BA","PF","1"
"62","1",-1,"scatter",0.2,0.1,"quad","data/P1/quad/scatter/S0.1m-0.2.png",NA,-0.26,NA,NA,61,21,"F","BA","PF","1"
"63","1",-1,"scatter",0.8,0.1,"trig","data/P1/trig/scatter/S0.1m-0.8.png",NA,-0.91,NA,NA,62,21,"F","BA","PF","1"
"64","1",1,"scatter",0.1,0.1,"trig","data/P1/trig/scatter/S0.1m0.1.png",NA,0.3,NA,NA,63,21,"F","BA","PF","1"
"65","1",1,"scatter",0.2,0.1,"trig","data/P1/trig/scatter/S0.1m0.2.png",NA,0.33,NA,NA,64,21,"F","BA","PF","1"
"66","1",1,"scattertrend",0.2,0.1,"quad","data/P1/quad/scattertrend/S0.1m0.2.png",1,0.2,NA,NA,65,21,"F","BA","PF","1"
"67","1",-1,"scatter",0.1,0.1,"quad","data/P1/quad/scatter/S0.1m-0.1.png",NA,-0.15,NA,NA,66,21,"F","BA","PF","1"
"68","1",1,"area",0.4,0.2,"quad","data/P1/quad/area/S0.2m0.4.png",NA,0.61,NA,NA,67,21,"F","BA","PF","1"
"69","1",1,"area",0.8,0.2,"line","data/P1/line/area/S0.2m0.8.png",NA,0.76,NA,NA,68,21,"F","BA","PF","1"
"70","1",-1,"area",0.4,0.2,"line","data/P1/line/area/S0.2m-0.4.png",NA,-0.55,NA,NA,69,21,"F","BA","PF","1"
"71","1",-1,"area",0.2,0.2,"trig","data/P1/trig/area/S0.2m-0.2.png",NA,-0.28,NA,NA,70,21,"F","BA","PF","1"
"72","1",-1,"area",0.8,0.2,"quad","data/P1/quad/area/S0.2m-0.8.png",NA,-0.94,NA,NA,71,21,"F","BA","PF","1"
"73","1",1,"area",0.1,0.2,"quad","data/P1/quad/area/S0.2m0.1.png",NA,0.27,NA,NA,72,21,"F","BA","PF","1"
"74","1",1,"area",0.2,0.2,"quad","data/P1/quad/area/S0.2m0.2.png",NA,0.34,NA,NA,73,21,"F","BA","PF","1"
"75","1",-1,"area",0.1,0.2,"quad","data/P1/quad/area/S0.2m-0.1.png",NA,-0.07,NA,NA,74,21,"F","BA","PF","1"
"76","1",1,"area",0.4,0.05,"quad","data/P1/quad/area/S0.05m0.4.png",NA,0.46,NA,NA,75,21,"F","BA","PF","1"
"77","1",1,"area",0.8,0.05,"quad","data/P1/quad/area/S0.05m0.8.png",NA,0.91,NA,NA,76,21,"F","BA","PF","1"
"78","1",-1,"area",0.4,0.05,"quad","data/P1/quad/area/S0.05m-0.4.png",NA,-0.43,NA,NA,77,21,"F","BA","PF","1"
"79","1",-1,"area",0.2,0.05,"quad","data/P1/quad/area/S0.05m-0.2.png",NA,-0.2,NA,NA,78,21,"F","BA","PF","1"
"80","1",-1,"area",0.8,0.05,"trig","data/P1/trig/area/S0.05m-0.8.png",NA,-0.85,NA,NA,79,21,"F","BA","PF","1"
"81","1",1,"area",0.1,0.05,"trig","data/P1/trig/area/S0.05m0.1.png",NA,0.21,NA,NA,80,21,"F","BA","PF","1"
"82","1",1,"area",0.2,0.05,"quad","data/P1/quad/area/S0.05m0.2.png",NA,0.21,NA,NA,81,21,"F","BA","PF","1"
"83","1",-1,"area",0.1,0.05,"trig","data/P1/trig/area/S0.05m-0.1.png",NA,-0.14,NA,NA,82,21,"F","BA","PF","1"
"84","1",1,"area",0.4,0.15,"line","data/P1/line/area/S0.15m0.4.png",NA,0.6,NA,NA,83,21,"F","BA","PF","1"
"85","1",1,"area",0.8,0.15,"line","data/P1/line/area/S0.15m0.8.png",NA,0.94,NA,NA,84,21,"F","BA","PF","1"
"86","1",-1,"area",0.4,0.15,"line","data/P1/line/area/S0.15m-0.4.png",NA,-0.47,NA,NA,85,21,"F","BA","PF","1"
"87","1",-1,"area",0.2,0.15,"line","data/P1/line/area/S0.15m-0.2.png",NA,-0.25,NA,NA,86,21,"F","BA","PF","1"
"88","1",-1,"area",0.8,0.15,"line","data/P1/line/area/S0.15m-0.8.png",NA,-1,NA,NA,87,21,"F","BA","PF","1"
"89","1",1,"area",0.1,0.15,"line","data/P1/line/area/S0.15m0.1.png",NA,0.29,NA,NA,88,21,"F","BA","PF","1"
"90","1",1,"area",0.2,0.15,"trig","data/P1/trig/area/S0.15m0.2.png",NA,0.41,NA,NA,89,21,"F","BA","PF","1"
"91","1",-1,"area",0.1,0.15,"quad","data/P1/quad/area/S0.15m-0.1.png",NA,-0.03,NA,NA,90,21,"F","BA","PF","1"
"92","1",1,"area",0.4,0.1,"trig","data/P1/trig/area/S0.1m0.4.png",NA,0.57,NA,NA,91,21,"F","BA","PF","1"
"93","1",1,"areatrend",0.2,0.1,"line","data/P1/line/areatrend/S0.1m0.2.png",1,0.2,NA,NA,92,21,"F","BA","PF","1"
"94","1",1,"area",0.8,0.1,"line","data/P1/line/area/S0.1m0.8.png",NA,0.86,NA,NA,93,21,"F","BA","PF","1"
"95","1",-1,"area",0.4,0.1,"line","data/P1/line/area/S0.1m-0.4.png",NA,-0.4,NA,NA,94,21,"F","BA","PF","1"
"96","1",-1,"area",0.2,0.1,"trig","data/P1/trig/area/S0.1m-0.2.png",NA,-0.26,NA,NA,95,21,"F","BA","PF","1"
"97","1",-1,"area",0.8,0.1,"line","data/P1/line/area/S0.1m-0.8.png",NA,-0.91,NA,NA,96,21,"F","BA","PF","1"
"98","1",1,"area",0.1,0.1,"line","data/P1/line/area/S0.1m0.1.png",NA,0.22,NA,NA,97,21,"F","BA","PF","1"
"99","1",1,"area",0.2,0.1,"line","data/P1/line/area/S0.1m0.2.png",NA,0.27,NA,NA,98,21,"F","BA","PF","1"
"100","1",-1,"area",0.1,0.1,"trig","data/P1/trig/area/S0.1m-0.1.png",NA,-0.15,NA,NA,99,21,"F","BA","PF","1"
"101","2",1,"line",0.8,0.05,"trig","data/P2/trig/line/S0.05m0.8.png",NA,0.81,NA,NA,0,20,"F","BA","PF","1"
"102","2",-1,"line",0.1,0.05,"line","data/P2/line/line/S0.05m-0.1.png",NA,-0.07,NA,NA,1,20,"F","BA","PF","1"
"103","2",-1,"line",0.8,0.05,"trig","data/P2/trig/line/S0.05m-0.8.png",NA,-0.78,NA,NA,2,20,"F","BA","PF","1"
"104","2",-1,"line",0.4,0.05,"trig","data/P2/trig/line/S0.05m-0.4.png",NA,-0.43,NA,NA,3,20,"F","BA","PF","1"
"105","2",1,"line",0.1,0.05,"line","data/P2/line/line/S0.05m0.1.png",NA,0.13,NA,NA,4,20,"F","BA","PF","1"
"106","2",1,"line",0.2,0.05,"quad","data/P2/quad/line/S0.05m0.2.png",NA,0.2,NA,NA,5,20,"F","BA","PF","1"
"107","2",1,"line",0.4,0.05,"trig","data/P2/trig/line/S0.05m0.4.png",NA,0.42,NA,NA,6,20,"F","BA","PF","1"
"108","2",-1,"line",0.2,0.05,"trig","data/P2/trig/line/S0.05m-0.2.png",NA,-0.23,NA,NA,7,20,"F","BA","PF","1"
"109","2",1,"line",0.8,0.1,"trig","data/P2/trig/line/S0.1m0.8.png",NA,0.9,NA,NA,8,20,"F","BA","PF","1"
"110","2",-1,"line",0.1,0.1,"line","data/P2/line/line/S0.1m-0.1.png",NA,-0.1,NA,NA,9,20,"F","BA","PF","1"
"111","2",-1,"line",0.8,0.1,"line","data/P2/line/line/S0.1m-0.8.png",NA,-0.83,NA,NA,10,20,"F","BA","PF","1"
"112","2",-1,"line",0.4,0.1,"quad","data/P2/quad/line/S0.1m-0.4.png",NA,-0.42,NA,NA,11,20,"F","BA","PF","1"
"113","2",1,"line",0.1,0.1,"line","data/P2/line/line/S0.1m0.1.png",NA,0.09,NA,NA,12,20,"F","BA","PF","1"
"114","2",1,"linetrend",0.8,0.1,"line","data/P2/line/linetrend/S0.1m0.8.png",1,0.81,NA,NA,13,20,"F","BA","PF","1"
"115","2",1,"line",0.2,0.1,"trig","data/P2/trig/line/S0.1m0.2.png",NA,0.18,NA,NA,14,20,"F","BA","PF","1"
"116","2",1,"line",0.4,0.1,"line","data/P2/line/line/S0.1m0.4.png",NA,0.51,NA,NA,15,20,"F","BA","PF","1"
"117","2",-1,"line",0.2,0.1,"line","data/P2/line/line/S0.1m-0.2.png",NA,-0.17,NA,NA,16,20,"F","BA","PF","1"
"118","2",1,"line",0.8,0.2,"quad","data/P2/quad/line/S0.2m0.8.png",NA,0.75,NA,NA,17,20,"F","BA","PF","1"
"119","2",-1,"line",0.1,0.2,"quad","data/P2/quad/line/S0.2m-0.1.png",NA,0.01,NA,NA,18,20,"F","BA","PF","1"
"120","2",-1,"line",0.8,0.2,"trig","data/P2/trig/line/S0.2m-0.8.png",NA,-0.79,NA,NA,19,20,"F","BA","PF","1"
"121","2",-1,"line",0.4,0.2,"trig","data/P2/trig/line/S0.2m-0.4.png",NA,-0.47,NA,NA,20,20,"F","BA","PF","1"
"122","2",1,"line",0.1,0.2,"quad","data/P2/quad/line/S0.2m0.1.png",NA,0.06,NA,NA,21,20,"F","BA","PF","1"
"123","2",1,"line",0.2,0.2,"quad","data/P2/quad/line/S0.2m0.2.png",NA,0.14,NA,NA,22,20,"F","BA","PF","1"
"124","2",1,"line",0.4,0.2,"trig","data/P2/trig/line/S0.2m0.4.png",NA,0.58,NA,NA,23,20,"F","BA","PF","1"
"125","2",-1,"line",0.2,0.2,"trig","data/P2/trig/line/S0.2m-0.2.png",NA,-0.07,NA,NA,24,20,"F","BA","PF","1"
"126","2",1,"line",0.8,0.15,"line","data/P2/line/line/S0.15m0.8.png",NA,0.77,NA,NA,25,20,"F","BA","PF","1"
"127","2",-1,"line",0.1,0.15,"quad","data/P2/quad/line/S0.15m-0.1.png",NA,-0.12,NA,NA,26,20,"F","BA","PF","1"
"128","2",-1,"line",0.8,0.15,"line","data/P2/line/line/S0.15m-0.8.png",NA,-0.83,NA,NA,27,20,"F","BA","PF","1"
"129","2",-1,"line",0.4,0.15,"line","data/P2/line/line/S0.15m-0.4.png",NA,-0.39,NA,NA,28,20,"F","BA","PF","1"
"130","2",1,"line",0.1,0.15,"quad","data/P2/quad/line/S0.15m0.1.png",NA,0,NA,NA,29,20,"F","BA","PF","1"
"131","2",1,"line",0.2,0.15,"trig","data/P2/trig/line/S0.15m0.2.png",NA,0.32,NA,NA,30,20,"F","BA","PF","1"
"132","2",1,"line",0.4,0.15,"quad","data/P2/quad/line/S0.15m0.4.png",NA,0.51,NA,NA,31,20,"F","BA","PF","1"
"133","2",-1,"line",0.2,0.15,"line","data/P2/line/line/S0.15m-0.2.png",NA,-0.08,NA,NA,32,20,"F","BA","PF","1"
"134","2",1,"scatter",0.8,0.05,"line","data/P2/line/scatter/S0.05m0.8.png",NA,0.84,NA,NA,33,20,"F","BA","PF","1"
"135","2",-1,"scatter",0.1,0.05,"quad","data/P2/quad/scatter/S0.05m-0.1.png",NA,-0.11,NA,NA,34,20,"F","BA","PF","1"
"136","2",-1,"scatter",0.8,0.05,"quad","data/P2/quad/scatter/S0.05m-0.8.png",NA,-0.83,NA,NA,35,20,"F","BA","PF","1"
"137","2",-1,"scatter",0.4,0.05,"quad","data/P2/quad/scatter/S0.05m-0.4.png",NA,-0.42,NA,NA,36,20,"F","BA","PF","1"
"138","2",1,"scatter",0.1,0.05,"trig","data/P2/trig/scatter/S0.05m0.1.png",NA,0.11,NA,NA,37,20,"F","BA","PF","1"
"139","2",1,"scatter",0.2,0.05,"trig","data/P2/trig/scatter/S0.05m0.2.png",NA,0.22,NA,NA,38,20,"F","BA","PF","1"
"140","2",1,"scatter",0.4,0.05,"quad","data/P2/quad/scatter/S0.05m0.4.png",NA,0.43,NA,NA,39,20,"F","BA","PF","1"
"141","2",-1,"scatter",0.2,0.05,"quad","data/P2/quad/scatter/S0.05m-0.2.png",NA,-0.23,NA,NA,40,20,"F","BA","PF","1"
"142","2",1,"scatter",0.8,0.1,"trig","data/P2/trig/scatter/S0.1m0.8.png",NA,0.8,NA,NA,41,20,"F","BA","PF","1"
"143","2",-1,"scatter",0.1,0.1,"trig","data/P2/trig/scatter/S0.1m-0.1.png",NA,-0.01,NA,NA,42,20,"F","BA","PF","1"
"144","2",-1,"scatter",0.8,0.1,"trig","data/P2/trig/scatter/S0.1m-0.8.png",NA,-0.92,NA,NA,43,20,"F","BA","PF","1"
"145","2",-1,"scatter",0.4,0.1,"line","data/P2/line/scatter/S0.1m-0.4.png",NA,-0.39,NA,NA,44,20,"F","BA","PF","1"
"146","2",1,"scatter",0.1,0.1,"quad","data/P2/quad/scatter/S0.1m0.1.png",NA,0.02,NA,NA,45,20,"F","BA","PF","1"
"147","2",1,"scattertrend",0.2,0.1,"trig","data/P2/trig/scattertrend/S0.1m0.2.png",1,0.2,NA,NA,46,20,"F","BA","PF","1"
"148","2",1,"scatter",0.2,0.1,"line","data/P2/line/scatter/S0.1m0.2.png",NA,0.23,NA,NA,47,20,"F","BA","PF","1"
"149","2",1,"scatter",0.4,0.1,"quad","data/P2/quad/scatter/S0.1m0.4.png",NA,0.44,NA,NA,48,20,"F","BA","PF","1"
"150","2",-1,"scatter",0.2,0.1,"quad","data/P2/quad/scatter/S0.1m-0.2.png",NA,-0.22,NA,NA,49,20,"F","BA","PF","1"
"151","2",1,"scatter",0.8,0.2,"line","data/P2/line/scatter/S0.2m0.8.png",NA,1,NA,NA,50,20,"F","BA","PF","1"
"152","2",-1,"scatter",0.1,0.2,"quad","data/P2/quad/scatter/S0.2m-0.1.png",NA,-0.08,NA,NA,51,20,"F","BA","PF","1"
"153","2",-1,"scatter",0.8,0.2,"trig","data/P2/trig/scatter/S0.2m-0.8.png",NA,-1,NA,NA,52,20,"F","BA","PF","1"
"154","2",-1,"scatter",0.4,0.2,"trig","data/P2/trig/scatter/S0.2m-0.4.png",NA,-0.56,NA,NA,53,20,"F","BA","PF","1"
"155","2",1,"scatter",0.1,0.2,"quad","data/P2/quad/scatter/S0.2m0.1.png",NA,0.09,NA,NA,54,20,"F","BA","PF","1"
"156","2",1,"scatter",0.2,0.2,"quad","data/P2/quad/scatter/S0.2m0.2.png",NA,0.22,NA,NA,55,20,"F","BA","PF","1"
"157","2",1,"scatter",0.4,0.2,"quad","data/P2/quad/scatter/S0.2m0.4.png",NA,0.46,NA,NA,56,20,"F","BA","PF","1"
"158","2",-1,"scatter",0.2,0.2,"quad","data/P2/quad/scatter/S0.2m-0.2.png",NA,-0.31,NA,NA,57,20,"F","BA","PF","1"
"159","2",1,"scatter",0.8,0.15,"quad","data/P2/quad/scatter/S0.15m0.8.png",NA,0.86,NA,NA,58,20,"F","BA","PF","1"
